RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2654074	-3662903	64.716667	-20.8	644300	-204800	27WWM0953176893	NQ27-14	H	STM		IC	00					N				SVARTA	Svartá	Svarta	1994-01-14
1	-2646596	-3654624	64.383333	-15.15	642300	-150900	28WDS9276439740	NQ27-15	T	PK		IC	06					N				HNUTUHNJUKUR	Hnútuhnjúkur	Hnutuhnjukur	1994-01-14
1	-2646387	-3654385	65.55	-22.233333	653300	-221400	27WVN4304270311	NQ27-09	T	HLLS		IC	04					N				HJALLAHALS	Hjallaháls	Hjallahals	1994-01-14
1	-2644629	-3652451	65.983333	-19.3	655900	-191800	27WWP7720019099	NQ27-10	S	FRM		IC	28					N				GEIRMUNDARHOLL	Geirmundarhóll	Geirmundarholl	1994-01-14
1	-2645885	-3653828	64.766667	-21.3	644600	-211800	27WVM8573082484	NQ27-13	S	FRM		IC	17					N				HAMRAR	Hamrar	Hamrar	1994-01-14
1	-2642587	-3650187	64.666667	-21.283333	644000	-211700	27WVM8647371336	NQ27-13	S	FRM		IC	07					N				BREIDHABOLSSTADHIR	Breiðabólsstaðir	Breidhabolsstadhir	1994-01-14
1	-2642208	-3649762	65.733333	-21.366667	654400	-212200	27WVN8318590236	NQ27-10	S	FRM		IC	30					N				BJARNARNES	Bjarnarnes	Bjarnarnes	1994-01-14
1	-2656045	-3665081	64.666667	-19.333333	644000	-192000	27WWM7956572352	NQ27-14	T	HLL		IC	00					N				YTRAASGARDHSFJALL	Ytra-Ásgarðsfjall	Ytra-Asgardhsfjall	1994-01-14
1	-2654274	-3663216	64.2	-22.416667	641200	-222500	27WVM3120820067	NQ27-13	H	SHOL		IC	00					V				SYDRAHRAUN	Sydrahraun	Sydrahraun	1994-01-14
1	-2645070	-3652932	66.4	-22.45	662400	-222700	27WVP3522765247	NQ27-05	T	HLL		IC	19					N				GRAHJALLAR	Gráhjallar	Grahjallar	1994-01-14
1	-2643907	-3651658	65.766667	-17.6	654600	-173600	28WCT8094596366	NQ27-11	S	FRM		IC	32					N				FELLSSEL	Fellssel	Fellssel	1994-01-14
1	-2643895	-3651646	64.966667	-21.45	645800	-212700	27WVN7875304815	NQ27-13	S	FRMQ		IC	08					N				FELLSENDASEL	Fellsendasel	Fellsendasel	1994-01-14
